station,unit,start,finish,grams,wingband,seconds
WH201,6,14/11/2016 06:12:19,14/11/2016 06:12:29,-00008.00,3791143621261,000010
WH201,8,14/11/2016 06:12:48,14/11/2016 06:13:51,-00014.00,3791152951001,000063
WH201,6,14/11/2016 06:12:51,14/11/2016 06:13:15,-00022.00,3791146741131,000024
WH201,3,14/11/2016 06:13:15,14/11/2016 06:14:48,-00070.00,3791146741030,000093
WH201,6,14/11/2016 06:13:30,14/11/2016 06:14:48,-00028.00,3791149861709,000078
WH201,7,14/11/2016 06:13:31,14/11/2016 06:15:37,-00044.00,3791146761630,000126
WH201,2,14/11/2016 06:13:41,14/11/2016 06:14:30,-00048.00,3791143651044,000049
WH201,1,14/11/2016 06:13:45,14/11/2016 06:14:16,-00024.00,3791149831222,000031
WH201,8,14/11/2016 06:13:56,14/11/2016 06:15:11,-00010.00,3791152951001,000075
WH201,4,14/11/2016 06:14:10,14/11/2016 06:15:35,-00083.00,3791143601449,000085
WH201,1,14/11/2016 06:14:26,14/11/2016 06:14:34,-00003.00,3791149831222,000008
WH201,5,14/11/2016 06:14:33,14/11/2016 06:15:53,-00074.00,3791149801520,000080
WH201,2,14/11/2016 06:14:39,14/11/2016 06:16:24,-00061.00,3791143631045,000105
WH201,1,14/11/2016 06:14:47,14/11/2016 06:15:47,-00043.00,3791149861609,000060
WH201,3,14/11/2016 06:14:58,14/11/2016 06:16:00,-00043.00,3791152951401,000062
WH201,6,14/11/2016 06:15:10,14/11/2016 06:18:33,-00106.00,3791149861709,000203
WH201,8,14/11/2016 06:15:40,14/11/2016 06:16:39,-00020.00,3791152931701,000059
WH201,4,14/11/2016 06:15:48,14/11/2016 06:16:04,-00014.00,3791143601449,000016
WH201,5,14/11/2016 06:16:09,14/11/2016 06:17:10,-00070.00,3791149831014,000061
WH201,3,14/11/2016 06:16:31,14/11/2016 06:17:37,-00025.00,3791149811409,000066
WH201,2,14/11/2016 06:16:42,14/11/2016 06:19:29,-00089.00,3791149851118,000167
